trial,joint,command_duration_s,http_ack_s,target_normalized,measured_after_settle_normalized,error_normalized,feedback_sample_count
base_yaw_plus4,base_yaw,2.0,0.006396,0.30872483221476443,-0.6711409395973078,-0.9798657718120722,19
base_yaw_return,base_yaw,2.0,0.007847,-3.6912751677852356,-3.0201342281879135,0.671140939597322,19
wrist_roll_plus4,wrist_roll,2.0,0.003563,-6.182767624020883,-7.0496083550913795,-0.8668407310704964,19
wrist_roll_return,wrist_roll,2.0,0.003325,-10.182767624020883,-9.765013054830291,0.41775456919059195,19
wrist_pitch_plus4,wrist_pitch,2.0,0.007462,-7.5115115115115145,-8.108108108108098,-0.5965965965965836,18
wrist_pitch_return,wrist_pitch,2.0,0.003996,-11.511511511511515,-9.309309309309313,2.2022022022022014,19
base_pitch_plus4,base_pitch,2.0,0.004677,-49.75722543352601,-50.91960063058329,-1.1623751970572798,18
base_pitch_return,base_pitch,2.0,0.003022,-53.75722543352601,-53.65212821860221,0.10509721492380208,19
elbow_pitch_plus4,elbow_pitch,2.0,0.008362,-72.30922693266832,-80.17456359102245,-7.865336658354124,19
elbow_pitch_return,elbow_pitch,2.0,0.006699,-76.30922693266832,-82.29426433915212,-5.985037406483798,19
yaw_6_duration_2.0,base_yaw,2.0,0.003854,2.9798657718120865,2.013422818791952,-0.9664429530201346,27
yaw_return_duration_2.0,base_yaw,2.0,0.003732,-3.0201342281879135,-2.3489932885906057,0.6711409395973078,27
yaw_6_duration_1.0,base_yaw,1.0,0.013096,2.9798657718120865,2.013422818791952,-0.9664429530201346,17
yaw_return_duration_1.0,base_yaw,1.0,0.003588,-3.0201342281879135,-2.572706935123051,0.4474272930648624,17
yaw_6_duration_0.5,base_yaw,0.5,0.005752,2.9798657718120865,2.013422818791952,-0.9664429530201346,13
yaw_return_duration_0.5,base_yaw,0.5,0.008486,-3.0201342281879135,-2.572706935123051,0.4474272930648624,13
sway_1,base_yaw,1.2,0.003772,1.9798657718120865,0.894854586129739,-1.0850111856823474,19
sway_1,wrist_roll,1.2,0.003772,-6.765013054830291,-7.571801566579637,-0.8067885117493461,19
sway_1,wrist_pitch,1.2,0.003772,-7.109109109109099,-9.909909909909913,-2.8008008008008147,19
sway_-1,base_yaw,1.2,0.006255,-8.020134228187914,-7.6062639821029165,0.413870246084997,19
sway_-1,wrist_roll,1.2,0.006255,-12.765013054830291,-12.167101827676248,0.597911227154043,19
sway_-1,wrist_pitch,1.2,0.006255,-7.109109109109099,-9.909909909909913,-2.8008008008008147,19
sway_1,base_yaw,1.2,0.004222,1.9798657718120865,0.894854586129739,-1.0850111856823474,19
sway_1,wrist_roll,1.2,0.004222,-6.765013054830291,-7.571801566579637,-0.8067885117493461,19
sway_1,wrist_pitch,1.2,0.004222,-7.109109109109099,-9.709709709709713,-2.6006006006006146,19
sway_-1,base_yaw,1.2,0.004552,-8.020134228187914,-7.6062639821029165,0.413870246084997,19
sway_-1,wrist_roll,1.2,0.004552,-12.765013054830291,-12.167101827676248,0.597911227154043,19
sway_-1,wrist_pitch,1.2,0.004552,-7.109109109109099,-9.709709709709713,-2.6006006006006146,19
gesture_return,base_yaw,2,0.00583,-3.0201342281879135,-3.6912751677852356,-0.671140939597322,27
gesture_return,wrist_roll,2,0.00583,-9.765013054830291,-10.60052219321149,-0.8355091383811981,27
gesture_return,wrist_pitch,2,0.00583,-9.109109109109099,-10.310310310310314,-1.201201201201215,27
